"province","agegrp5","sex","no_reinf","reinf","total"
"LIMPOPO","(60,65]","U",15,1,16
"LIMPOPO","(65,70]","F",1809,5,1814
"LIMPOPO","(65,70]","M",1860,5,1865
"LIMPOPO","(65,70]","U",17,0,17
"LIMPOPO","(70,75]","F",1174,6,1180
"LIMPOPO","(70,75]","M",1191,6,1197
"LIMPOPO","(70,75]","U",12,0,12
"LIMPOPO","(75,80]","F",907,3,910
"LIMPOPO","(75,80]","M",701,0,701
"LIMPOPO","(75,80]","U",5,0,5
"LIMPOPO","(80,Inf]","F",1157,0,1157
"LIMPOPO","(80,Inf]","M",547,0,547
"LIMPOPO","(80,Inf]","U",10,0,10
"MPUMALANGA","UNKNOWN","F",1848,0,1848
"MPUMALANGA","UNKNOWN","M",1209,0,1209
"MPUMALANGA","UNKNOWN","U",167,0,167
"MPUMALANGA","(0,5]","F",958,11,969
"MPUMALANGA","(0,5]","M",1041,14,1055
"MPUMALANGA","(0,5]","U",39,0,39
"MPUMALANGA","(10,15]","F",2773,33,2806
"MPUMALANGA","(10,15]","M",2431,27,2458
"MPUMALANGA","(10,15]","U",74,0,74
"MPUMALANGA","(15,20]","F",4598,61,4659
"MPUMALANGA","(15,20]","M",3183,33,3216
"MPUMALANGA","(15,20]","U",102,1,103
"MPUMALANGA","(20,25]","F",5288,63,5351
"MPUMALANGA","(20,25]","M",3705,43,3748
"MPUMALANGA","(20,25]","U",68,0,68
"MPUMALANGA","(25,30]","F",8479,149,8628
"MPUMALANGA","(25,30]","M",5949,102,6051
"MPUMALANGA","(25,30]","U",123,0,123
"MPUMALANGA","(30,35]","F",9647,166,9813
"MPUMALANGA","(30,35]","M",7541,118,7659
"MPUMALANGA","(30,35]","U",109,0,109
"MPUMALANGA","(35,40]","F",9315,146,9461
"MPUMALANGA","(35,40]","M",7619,123,7742
"MPUMALANGA","(35,40]","U",81,0,81
"MPUMALANGA","(40,45]","F",7523,118,7641
"MPUMALANGA","(40,45]","M",6309,93,6402
"MPUMALANGA","(40,45]","U",61,0,61
"MPUMALANGA","(45,50]","F",7056,95,7151
